Date,x1,x2,x3,x4,x5,x6
03/28/2024,769,779,782,780,785,784
03/29/2024,779,769,779,782,780,785
04/01/2024,770,779,769,779,782,780
04/02/2024,790,770,779,769,779,782
04/03/2024,780,790,770,779,769,779
04/08/2024,783,780,790,770,779,769
04/09/2024,819,783,780,790,770,779
04/10/2024,815,819,783,780,790,770
04/11/2024,820,815,819,783,780,790
04/12/2024,818,820,815,819,783,780
04/15/2024,806,818,820,815,819,783
04/16/2024,788,806,818,820,815,819
04/17/2024,804,788,806,818,820,815
04/18/2024,804,804,788,806,818,820
04/19/2024,750,804,804,788,806,818
04/22/2024,742,750,804,804,788,806
04/23/2024,754,742,750,804,804,788
04/24/2024,783,754,742,750,804,804
04/25/2024,766,783,754,742,750,804
04/26/2024,782,766,783,754,742,750
04/29/2024,795,782,766,783,754,742
04/30/2024,790,795,782,766,783,754
05/02/2024,772,790,795,782,766,783
05/03/2024,780,772,790,795,782,766
05/06/2024,786,780,772,790,795,782
05/07/2024,800,786,780,772,790,795
05/08/2024,802,800,786,780,772,790
05/09/2024,796,802,800,786,780,772
05/10/2024,802,796,802,800,786,780
05/13/2024,819,802,796,802,800,786
05/14/2024,825,819,802,796,802,800
05/15/2024,839,825,819,802,796,802
05/16/2024,841,839,825,819,802,796
05/17/2024,835,841,839,825,819,802
05/20/2024,835,835,841,839,825,819
05/21/2024,841,835,835,841,839,825
05/22/2024,864,841,835,835,841,839
05/23/2024,875,864,841,835,835,841
05/24/2024,867,875,864,841,835,835
05/27/2024,869,867,875,864,841,835
05/28/2024,865,869,867,875,864,841
05/29/2024,857,865,869,867,875,864
05/30/2024,838,857,865,869,867,875
05/31/2024,821,838,857,865,869,867
06/03/2024,846,821,838,857,865,869
06/04/2024,839,846,821,838,857,865
06/05/2024,854,839,846,821,838,857
06/06/2024,894,854,839,846,821,838
06/07/2024,879,894,854,839,846,821
06/11/2024,883,879,894,854,839,846
06/12/2024,909,883,879,894,854,839
06/13/2024,919,909,883,879,894,854
06/14/2024,922,919,909,883,879,894
06/17/2024,921,922,919,909,883,879
06/18/2024,943,921,922,919,909,883
06/19/2024,981,943,921,922,919,909
06/20/2024,981,981,943,921,922,919
06/21/2024,970,981,981,943,921,922
06/24/2024,940,970,981,981,943,921
06/25/2024,945,940,970,981,981,943
06/26/2024,960,945,940,970,981,981
06/27/2024,960,960,945,940,970,981
06/28/2024,966,960,960,945,940,970
07/01/2024,968,966,960,960,945,940
07/02/2024,960,968,966,960,960,945
07/03/2024,979,960,968,966,960,960
07/04/2024,"1,005.00",979,960,968,966,960
07/05/2024,"1,005.00","1,005.00",979,960,968,966
07/08/2024,"1,035.00","1,005.00","1,005.00",979,960,968
07/09/2024,"1,040.00","1,035.00","1,005.00","1,005.00",979,960
07/10/2024,"1,045.00","1,040.00","1,035.00","1,005.00","1,005.00",979
07/11/2024,"1,080.00","1,045.00","1,040.00","1,035.00","1,005.00","1,005.00"
07/12/2024,"1,040.00","1,080.00","1,045.00","1,040.00","1,035.00","1,005.00"
07/15/2024,"1,040.00","1,040.00","1,080.00","1,045.00","1,040.00","1,035.00"
07/16/2024,"1,055.00","1,040.00","1,040.00","1,080.00","1,045.00","1,040.00"
07/17/2024,"1,030.00","1,055.00","1,040.00","1,040.00","1,080.00","1,045.00"
07/18/2024,"1,005.00","1,030.00","1,055.00","1,040.00","1,040.00","1,080.00"
07/19/2024,970,"1,005.00","1,030.00","1,055.00","1,040.00","1,040.00"
07/22/2024,939,970,"1,005.00","1,030.00","1,055.00","1,040.00"
07/23/2024,979,939,970,"1,005.00","1,030.00","1,055.00"
07/26/2024,924,979,939,970,"1,005.00","1,030.00"
07/29/2024,944,924,979,939,970,"1,005.00"
07/30/2024,940,944,924,979,939,970
07/31/2024,934,940,944,924,979,939
08/01/2024,960,934,940,944,924,979
08/02/2024,903,960,934,940,944,924
08/05/2024,815,903,960,934,940,944
08/06/2024,880,815,903,960,934,940
08/07/2024,920,880,815,903,960,934
08/08/2024,896,920,880,815,903,960
08/09/2024,934,896,920,880,815,903
08/12/2024,940,934,896,920,880,815
08/13/2024,941,940,934,896,920,880
08/14/2024,948,941,940,934,896,920
08/15/2024,943,948,941,940,934,896
08/16/2024,969,943,948,941,940,934
08/19/2024,973,969,943,948,941,940
08/20/2024,973,973,969,943,948,941
08/21/2024,958,973,973,969,943,948
08/22/2024,951,958,973,973,969,943
08/23/2024,949,951,958,973,973,969
08/26/2024,950,949,951,958,973,973
08/27/2024,942,950,949,951,958,973
08/28/2024,964,942,950,949,951,958
08/29/2024,943,964,942,950,949,951
08/30/2024,944,943,964,942,950,949
09/02/2024,948,944,943,964,942,950
09/03/2024,940,948,944,943,964,942
09/04/2024,889,940,948,944,943,964
09/05/2024,902,889,940,948,944,943
09/06/2024,918,902,889,940,948,944
09/09/2024,899,918,902,889,940,948
09/10/2024,904,899,918,902,889,940
09/11/2024,901,904,899,918,902,889
09/12/2024,940,901,904,899,918,902
09/13/2024,947,940,901,904,899,918
09/16/2024,947,947,940,901,904,899
09/18/2024,941,947,947,940,901,904
09/19/2024,960,941,947,947,940,901
09/20/2024,973,960,941,947,947,940
09/23/2024,977,973,960,941,947,947
09/24/2024,987,977,973,960,941,947
09/25/2024,"1,005.00",987,977,973,960,941
09/26/2024,"1,015.00","1,005.00",987,977,973,960
09/27/2024,"1,000.00","1,015.00","1,005.00",987,977,973
09/30/2024,957,"1,000.00","1,015.00","1,005.00",987,977
10/01/2024,972,957,"1,000.00","1,015.00","1,005.00",987
10/04/2024,977,972,957,"1,000.00","1,015.00","1,005.00"
10/07/2024,"1,005.00",977,972,957,"1,000.00","1,015.00"
10/08/2024,"1,010.00","1,005.00",977,972,957,"1,000.00"
