Date,x1,x2,x3,x4,x5,x6
11/15/2023,581,572,571,557,557,556
11/16/2023,583,581,572,571,557,557
11/17/2023,580,583,581,572,571,557
11/20/2023,577,580,583,581,572,571
11/21/2023,585,577,580,583,581,572
11/22/2023,577,585,577,580,583,581
11/23/2023,578,577,585,577,580,583
11/24/2023,575,578,577,585,577,580
11/27/2023,568,575,578,577,585,577
11/28/2023,575,568,575,578,577,585
11/29/2023,574,575,568,575,578,577
11/30/2023,577,574,575,568,575,578
12/01/2023,579,577,574,575,568,575
12/04/2023,574,579,577,574,575,568
12/05/2023,570,574,579,577,574,575
12/06/2023,570,570,574,579,577,574
12/07/2023,566,570,570,574,579,577
12/08/2023,570,566,570,570,574,579
12/11/2023,574,570,566,570,570,574
12/12/2023,578,574,570,566,570,570
12/13/2023,577,578,574,570,566,570
12/14/2023,582,577,578,574,570,566
12/15/2023,585,582,577,578,574,570
12/18/2023,585,585,582,577,578,574
12/19/2023,585,585,585,582,577,578
12/20/2023,585,585,585,585,582,577
12/21/2023,577,585,585,585,585,582
12/22/2023,582,577,585,585,585,585
12/25/2023,581,582,577,585,585,585
12/26/2023,586,581,582,577,585,585
12/27/2023,592,586,581,582,577,585
12/28/2023,593,592,586,581,582,577
12/29/2023,593,593,592,586,581,582
01/02/2024,593,593,593,592,586,581
01/03/2024,578,593,593,593,592,586
01/04/2024,580,578,593,593,593,592
01/05/2024,576,580,578,593,593,593
01/08/2024,583,576,580,578,593,593
01/09/2024,586,583,576,580,578,593
01/10/2024,584,586,583,576,580,578
01/11/2024,586,584,586,583,576,580
01/12/2024,584,586,584,586,583,576
01/15/2024,586,584,586,584,586,583
01/16/2024,580,586,584,586,584,586
01/17/2024,581,580,586,584,586,584
01/18/2024,588,581,580,586,584,586
01/19/2024,626,588,581,580,586,584
01/22/2024,626,626,588,581,580,586
01/23/2024,628,626,626,588,581,580
01/24/2024,627,628,626,626,588,581
01/25/2024,642,627,628,626,626,588
01/26/2024,644,642,627,628,626,626
01/29/2024,648,644,642,627,628,626
01/30/2024,642,648,644,642,627,628
01/31/2024,628,642,648,644,642,627
02/01/2024,628,628,642,648,644,642
02/02/2024,635,628,628,642,648,644
02/05/2024,646,635,628,628,642,648
02/15/2024,697,646,635,628,628,642
02/16/2024,683,697,646,635,628,628
02/19/2024,678,683,697,646,635,628
02/20/2024,687,678,683,697,646,635
02/21/2024,681,687,678,683,697,646
02/22/2024,692,681,687,678,683,697
02/23/2024,697,692,681,687,678,683
02/26/2024,698,697,692,681,687,678
02/27/2024,698,698,697,692,681,687
02/29/2024,690,698,698,697,692,681
03/01/2024,689,690,698,698,697,692
03/04/2024,725,689,690,698,698,697
03/05/2024,730,725,689,690,698,698
03/06/2024,735,730,725,689,690,698
03/07/2024,760,735,730,725,689,690
03/08/2024,784,760,735,730,725,689
03/11/2024,766,784,760,735,730,725
03/12/2024,770,766,784,760,735,730
03/13/2024,779,770,766,784,760,735
03/14/2024,784,779,770,766,784,760
03/15/2024,753,784,779,770,766,784
03/18/2024,764,753,784,779,770,766
03/19/2024,762,764,753,784,779,770
03/20/2024,758,762,764,753,784,779
03/21/2024,784,758,762,764,753,784
03/22/2024,785,784,758,762,764,753
03/25/2024,780,785,784,758,762,764
03/26/2024,782,780,785,784,758,762
03/27/2024,779,782,780,785,784,758
