Date,x1,x2,x3,x4,x5,x6
06/07/2024,850.8,894,854,839,846,821
06/11/2024,862.4,879,894,854,839,846
06/12/2024,869.8,883,879,894,854,839
06/13/2024,883.8,909,883,879,894,854
06/14/2024,896.8,919,909,883,879,894
06/17/2024,902.4,922,919,909,883,879
06/18/2024,910.8,921,922,919,909,883
06/19/2024,922.8,943,921,922,919,909
06/20/2024,937.2,981,943,921,922,919
06/21/2024,949.6,981,981,943,921,922
06/24/2024,959.2,970,981,981,943,921
06/25/2024,963,940,970,981,981,943
06/26/2024,963.4,945,940,970,981,981
06/27/2024,959.2,960,945,940,970,981
06/28/2024,955,960,960,945,940,970
07/01/2024,954.2,966,960,960,945,940
07/02/2024,959.8,968,966,960,960,945
07/03/2024,962.8,960,968,966,960,960
07/04/2024,966.6,979,960,968,966,960
07/05/2024,975.6,"1,005.00",979,960,968,966
07/08/2024,983.4,"1,005.00","1,005.00",979,960,968
07/09/2024,996.8,"1,035.00","1,005.00","1,005.00",979,960
07/10/2024,1012.8,"1,040.00","1,035.00","1,005.00","1,005.00",979
07/11/2024,1026,"1,045.00","1,040.00","1,035.00","1,005.00","1,005.00"
07/12/2024,1041,"1,080.00","1,045.00","1,040.00","1,035.00","1,005.00"
07/15/2024,1048,"1,040.00","1,080.00","1,045.00","1,040.00","1,035.00"
07/16/2024,1049,"1,040.00","1,040.00","1,080.00","1,045.00","1,040.00"
07/17/2024,1052,"1,055.00","1,040.00","1,040.00","1,080.00","1,045.00"
07/18/2024,1049,"1,030.00","1,055.00","1,040.00","1,040.00","1,080.00"
07/19/2024,1034,"1,005.00","1,030.00","1,055.00","1,040.00","1,040.00"
07/22/2024,1020,970,"1,005.00","1,030.00","1,055.00","1,040.00"
07/23/2024,999.8,939,970,"1,005.00","1,030.00","1,055.00"
07/26/2024,984.6,979,939,970,"1,005.00","1,030.00"
07/29/2024,963.4,924,979,939,970,"1,005.00"
07/30/2024,951.2,944,924,979,939,970
07/31/2024,945.2,940,944,924,979,939
08/01/2024,944.2,934,940,944,924,979
08/02/2024,940.4,960,934,940,944,924
08/05/2024,936.2,903,960,934,940,944
08/06/2024,910.4,815,903,960,934,940
08/07/2024,898.4,880,815,903,960,934
08/08/2024,895.6,920,880,815,903,960
08/09/2024,882.8,896,920,880,815,903
08/12/2024,889,934,896,920,880,815
08/13/2024,914,940,934,896,920,880
08/14/2024,926.2,941,940,934,896,920
08/15/2024,931.8,948,941,940,934,896
08/16/2024,941.2,943,948,941,940,934
08/19/2024,948.2,969,943,948,941,940
08/20/2024,954.8,973,969,943,948,941
08/21/2024,961.2,973,973,969,943,948
08/22/2024,963.2,958,973,973,969,943
08/23/2024,964.8,951,958,973,973,969
08/26/2024,960.8,949,951,958,973,973
08/27/2024,956.2,950,949,951,958,973
08/28/2024,950,942,950,949,951,958
08/29/2024,951.2,964,942,950,949,951
08/30/2024,949.6,943,964,942,950,949
09/02/2024,948.6,944,943,964,942,950
09/03/2024,948.2,948,944,943,964,942
09/04/2024,947.8,940,948,944,943,964
